MRPS14,OXA1L,CYCS,NDUFB5,EIF3I,RPL19,MRPS23,NDUFV1,RPS25,MRPS7
4.744366,5.156035,6.336148,5.705043,8.482974,10.404618,4.479919,7.423373,9.829755,6.063552
4.440099,5.713372,6.814192,4.856341,9.140775,9.889499,4.621951,6.400562,9.457004,6.135272
5.898187,6.894721,6.887755,6.046448,9.386007,11.755673,5.111484,7.403769,12.023377,5.811349
4.271744,5.814565,6.152324,4.853274,9.103379,10.310356,3.768372,6.140718,9.554777,5.222124
4.501939,6.478352,7.603715,5.434714,8.820375,10.307896,4.537758,6.988836,8.884065,5.911183
4.304678,6.208265,6.444616,4.834079,8.876209,10.190477,4.141115,6.27668,9.473778,5.675309
4.307512,5.290232,6.788367,5.155379,8.096767,10.312529,4.191642,6.833611,9.6037,5.295813
4.222617,6.485834,7.180471,4.893492,8.984401,10.677503,4.44155,7.369659,8.749278,6.109599
4.222443,6.29835,6.844109,5.767229,8.375098,10.381573,4.031153,6.714019,9.806732,5.524657
4.895039,6.650596,7.128426,5.574359,9.254559,10.582369,4.635826,6.901117,9.107291,5.89632
4.723428,4.904555,6.988286,5.518854,9.473558,11.194117,4.858497,7.772038,9.602756,6.619918
5.73639,6.449253,6.986016,5.735913,8.953117,10.503793,4.668516,6.447868,9.796369,5.802004
4.29759,6.063368,6.912009,5.900132,8.830332,10.208113,4.529779,6.452038,8.608504,6.152981
4.439024,5.624581,6.541491,5.382684,8.349042,9.670131,4.351758,6.263919,8.457171,5.616613
4.500183,6.337627,6.440089,5.429189,9.355808,10.62658,5.126218,7.082158,8.758444,6.476342
4.499021,6.103119,6.93922,5.380952,8.609061,10.491217,4.71131,6.55615,9.157905,6.556996
4.932725,6.418472,6.505739,5.501786,9.012022,11.07314,4.934694,7.17019,10.06118,6.34142
5.286097,5.902153,6.716926,6.061436,8.216183,9.813373,4.24014,7.009448,9.152552,6.009605
3.827288,5.377918,6.00127,4.452104,9.008212,9.592379,4.063843,6.5993,8.848841,5.493047
5.133205,6.688901,6.705174,5.651449,9.751111,10.728075,5.422543,6.998712,10.326869,6.610178
4.903178,6.268962,7.027856,6.013697,8.587928,10.33148,5.324871,5.818169,8.672718,6.333118
4.437766,6.149713,6.864622,4.963481,8.208457,9.775786,4.090178,6.297736,8.8913,5.741271
4.931804,5.970523,6.389917,5.706321,9.18257,10.1472,4.197742,7.129056,8.694121,6.077219
4.609958,6.175206,6.340765,4.867588,8.802429,10.344648,4.153868,6.531529,8.991709,5.659086
5.207755,6.698441,7.229337,5.143137,9.293133,11.669134,5.33608,7.093719,11.008193,6.268549
4.354809,6.236592,7.130324,5.094929,8.791611,9.670116,4.433059,6.460287,8.781248,5.905111
4.493222,5.597288,6.281709,5.09366,8.430061,9.807427,4.454959,6.311093,9.242919,5.838277
4.312097,6.107054,5.561989,5.175671,8.619696,10.228876,4.123311,6.45412,9.425708,5.900135
4.526782,7.105945,7.28939,5.749079,8.680517,11.315443,4.729597,7.298879,10.089354,6.001006
4.769423,6.729899,7.100103,5.613601,9.045647,9.80291,4.261734,6.704746,9.081666,5.600718
4.30825,6.608251,6.424841,5.437036,8.620184,10.35396,3.999231,6.59257,9.589519,5.610127
4.636777,6.163308,5.754806,5.284428,9.169281,10.561837,3.931524,7.059143,10.507507,5.448413
4.055523,5.408536,6.295064,4.877584,8.30937,10.299944,3.764387,5.887096,10.018401,5.230108
4.294409,5.91261,6.523637,5.494069,8.43303,9.942419,4.220808,6.346068,9.015323,5.704087
4.054046,6.775708,8.295342,5.270656,8.363376,10.001677,4.413041,7.058541,8.567341,5.773677
4.213924,6.029085,6.637958,4.983268,8.792039,10.111257,3.946056,6.745105,9.281345,5.680222
4.482155,5.646159,6.659466,4.270525,8.920169,9.669833,4.355708,6.399983,8.275624,6.023484
